variant,source,transform,total_bits,sequence_bits,sequence_count,binary_path,ascii_path,binary_sha256,ascii_sha256
mls_raw,mls,raw,8000000,1000000,8,data/nist_input/mls_raw.bin,data/nist_input/mls_raw.txt,79b441921cb056468428c8b3b0c932882f1dcc6beb2e4d105188a80d7c19cc24,92b3177f466a081e3c47f5a9b47b72701db8f00e0616b5207b3d1da3f2bd953a
mls_vn,mls,vn,2000000,1000000,2,data/nist_input/mls_vn.bin,data/nist_input/mls_vn.txt,184c555635ceee194f589e81b29edeedf8b4fec18211e92324efc63ac7fc84e8,0e54af7795ef8930f351eae76c8bc921d72ff93c46df67ba17f7d532f0e608ec
mls_xor,mls,xor,8000000,1000000,8,data/nist_input/mls_xor.bin,data/nist_input/mls_xor.txt,b48175d8a1dcbabc4c63755d94552af65c35cc9f530d1aaa3d60986c23419998,4920239c8fdd421a1cb218d63a6e0dec0cd9acd1a8cc1728da9a94feb0e02b22
python_random_raw,python_random,raw,8000000,1000000,8,data/nist_input/python_random_raw.bin,data/nist_input/python_random_raw.txt,8b27fa10af53fb67cf349699d4d2dbcb1e3df2284012b459891357a11d42d56e,fb7b03c36dfc95fb6dc726c02d267752a4bb3e0226c9a2b67ccc6056272cf61b
python_random_vn,python_random,vn,2000000,1000000,2,data/nist_input/python_random_vn.bin,data/nist_input/python_random_vn.txt,e1e3ee43499c703542a0a4f766fc959662f9a970f1228c6f65114fbac7d5c1b8,a3a8fe9f4340402a90bd72659c929f9a4e9167af6c270119f741278f3a758be3
python_random_xor,python_random,xor,8000000,1000000,8,data/nist_input/python_random_xor.bin,data/nist_input/python_random_xor.txt,ee50a4df37f5b293eca1cb5c002956035805174bd1e59d3b366491bfaaa85aa2,53cb88278be79db24b5e95625ace0ac9440ccaed94efa720bc72019831893db5
pynacl_raw,pynacl,raw,8000000,1000000,8,data/nist_input/pynacl_raw.bin,data/nist_input/pynacl_raw.txt,b8cbf7d6ccb0e077bc01617979c5a1b5f5f10894dfce3ec5ed1a1c4d3baa60f7,d25ef071d9b74662a7da1b1dfeca9548eaf8e459c6c115a44eb773bf9844c0b0
pynacl_vn,pynacl,vn,2000000,1000000,2,data/nist_input/pynacl_vn.bin,data/nist_input/pynacl_vn.txt,87de9852c92bc81f0b3ad2afe50e137efb48307846c3ea0f3e78396686ba7ba8,1381b5355c6343215faba3be0532189627e294872179116224cb403a372d223f
pynacl_xor,pynacl,xor,8000000,1000000,8,data/nist_input/pynacl_xor.bin,data/nist_input/pynacl_xor.txt,5154329ef7f30eaabde321b3afcd9f9272e860210542aacf1755d7e6fe5002cb,28f02465ee661eda4f16c0ba538a7592e9434e52b746860dfcabafefa2f307f6
pycryptodome_raw,pycryptodome,raw,8000000,1000000,8,data/nist_input/pycryptodome_raw.bin,data/nist_input/pycryptodome_raw.txt,1afeabf43fcfe90454b40f2c6e243feff871b6f2583de8a14b195b4ec36a270d,7cd5a45f39faf84b7c4095c45282985017bb18662bf4cfd722ba418d57e23a12
pycryptodome_vn,pycryptodome,vn,2000000,1000000,2,data/nist_input/pycryptodome_vn.bin,data/nist_input/pycryptodome_vn.txt,cdec697aba7d838a77493fbfb650b45d8101f28184a18e905146d577013eb594,597e33cb8f94016b6029c00f467d55b6c3025e408274dd99bebc2f4f26921c7d
pycryptodome_xor,pycryptodome,xor,8000000,1000000,8,data/nist_input/pycryptodome_xor.bin,data/nist_input/pycryptodome_xor.txt,5ed162b077936b3030c295d22398ef5f5b2bc8876fd4e96c71c57180b24efdc4,d53a862665219f1ee61105887c93f43d39b742138c10d42ab4c4b92981d470b3
bjt_raw,bjt,raw,8000000,1000000,8,data/nist_input/bjt_raw.bin,data/nist_input/bjt_raw.txt,80895d8253a99a9497d25dde39cb4acc13a8ed236bb1d867baac2a20fd452ee9,45d5187fb090ee36e8224323c26680a61a87c7ed818eb14b33d13a5e41ba1baa
bjt_vn,bjt,vn,2000000,1000000,2,data/nist_input/bjt_vn.bin,data/nist_input/bjt_vn.txt,0c781e07282dd4d55561ce3a7b5413e066656badc284a0dab86876117abe76ca,e8ccc434ac4c82c0bb396aee4a4448ae20c07b48a2f2f9efb33e2c8daf612afa
bjt_xor,bjt,xor,8000000,1000000,8,data/nist_input/bjt_xor.bin,data/nist_input/bjt_xor.txt,b488e105ae90ebf9d3cdd72aa68b6e8c28bc3c9230664299c02a473e0c3edc78,17eb9be24df88cb24ba2e9977f60e684b4f1d3afa2fc8d7fcb636c4bcfcbba90
diode_raw,diode,raw,8000000,1000000,8,data/nist_input/diode_raw.bin,data/nist_input/diode_raw.txt,d9a476079aa75725607060cb5ac9be610c9340f12a65ad77385898a549df8c9f,625f69475375341f10f8408466b47c309339b607ea1e9c6c51b826f1bb305704
diode_vn,diode,vn,2000000,1000000,2,data/nist_input/diode_vn.bin,data/nist_input/diode_vn.txt,2697ecb0412a6d2ca6cf8d894223eb617d8e38519622eacb4056c49aaf59f97f,d35b6722c1209dda71fbefc4ea6d8b28086ee8b901980a71239f7eb12e25c47a
diode_xor,diode,xor,8000000,1000000,8,data/nist_input/diode_xor.bin,data/nist_input/diode_xor.txt,fe469a4a3964a345245005a60cc5dc32b5e9ff7de631c6b8a25559a68c4c3c9d,fd4420ef14d89c474b3eb7678648ad7bdedfbb14547a9ef39bcaf21778623c56
sdr_raw,sdr,raw,8000000,1000000,8,data/nist_input/sdr_raw.bin,data/nist_input/sdr_raw.txt,43418af5529cc809e4614cccd0d3abab6ec9b0c22b17e5f9d93d63398b3ca413,a231bf2b30470cf60d55523b0f6f9047a6ee0f342e94cb48bc6e5cf1f7f80435
sdr_vn,sdr,vn,2000000,1000000,2,data/nist_input/sdr_vn.bin,data/nist_input/sdr_vn.txt,394cff8e5f01efdd36a7ba96d5fb1b3c5d36ceaba784ca33a8c9d98239d5b818,ea9181949a047565584a35247ae7379e15ff1e505f0092d084cd04fe534d6496
sdr_xor,sdr,xor,8000000,1000000,8,data/nist_input/sdr_xor.bin,data/nist_input/sdr_xor.txt,c75b764505ba6033b7ad9852d74f3743926d4b8dec710c38c15c4bb872faec7e,13c1e516ec0a63e8a647f7d24b10a849797730b3c080324d4fc933541aee4336
