variant,Frequency,BlockFrequency,CumulativeSums,Runs,LongestRun,Rank,FFT,NonOverlappingTemplate,OverlappingTemplate,Universal,ApproximateEntropy,RandomExcursions,RandomExcursionsVariant,Serial,LinearComplexity
bjt_raw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.75,0.875,1.0
bjt_vn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bjt_xor,1.0,0.875,1.0,0.875,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.875,1.0
diode_raw,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
diode_vn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
diode_xor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.875,1.0,1.0,1.0,0.875,1.0
sdr_raw,0.5,0.0,0.25,0.5,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
sdr_vn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
sdr_xor,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0
mls_raw,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.875,1.0,1.0,0.875,1.0,0.5,1.0,0.0
mls_vn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mls_xor,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0
python_random_raw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8,0.8,1.0,1.0
python_random_vn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
python_random_xor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,0.8,1.0,1.0
pynacl_raw,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,1.0,0.75,1.0,1.0,1.0
pynacl_vn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pynacl_xor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pycryptodome_raw,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.75,0.875,1.0,1.0,1.0,0.75,1.0,0.875
pycryptodome_vn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0
pycryptodome_xor,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
