variant,source,transform,sequence_count,test,pass_proportion,uniformity_p_value,eligible_sequences,subtest_rows
bjt_raw,bjt,raw,8,ApproximateEntropy,1.0,,8,1
bjt_raw,bjt,raw,8,BlockFrequency,1.0,,8,1
bjt_raw,bjt,raw,8,CumulativeSums,1.0,,8,2
bjt_raw,bjt,raw,8,FFT,1.0,,8,1
bjt_raw,bjt,raw,8,Frequency,1.0,,8,1
bjt_raw,bjt,raw,8,LinearComplexity,1.0,,8,1
bjt_raw,bjt,raw,8,LongestRun,1.0,,8,1
bjt_raw,bjt,raw,8,NonOverlappingTemplate,0.75,,8,148
bjt_raw,bjt,raw,8,OverlappingTemplate,1.0,,8,1
bjt_raw,bjt,raw,8,RandomExcursions,0.75,,4,8
bjt_raw,bjt,raw,8,RandomExcursionsVariant,0.75,,4,18
bjt_raw,bjt,raw,8,Rank,1.0,,8,1
bjt_raw,bjt,raw,8,Runs,1.0,,8,1
bjt_raw,bjt,raw,8,Serial,0.875,,8,2
bjt_raw,bjt,raw,8,Universal,1.0,,8,1
bjt_vn,bjt,vn,2,ApproximateEntropy,1.0,,2,1
bjt_vn,bjt,vn,2,BlockFrequency,1.0,,2,1
bjt_vn,bjt,vn,2,CumulativeSums,1.0,,2,2
bjt_vn,bjt,vn,2,FFT,1.0,,2,1
bjt_vn,bjt,vn,2,Frequency,1.0,,2,1
bjt_vn,bjt,vn,2,LinearComplexity,1.0,,2,1
bjt_vn,bjt,vn,2,LongestRun,1.0,,2,1
bjt_vn,bjt,vn,2,NonOverlappingTemplate,0.5,,2,148
bjt_vn,bjt,vn,2,OverlappingTemplate,1.0,,2,1
bjt_vn,bjt,vn,2,RandomExcursions,1.0,,1,8
bjt_vn,bjt,vn,2,RandomExcursionsVariant,1.0,,1,18
bjt_vn,bjt,vn,2,Rank,1.0,,2,1
bjt_vn,bjt,vn,2,Runs,1.0,,2,1
bjt_vn,bjt,vn,2,Serial,1.0,,2,2
bjt_vn,bjt,vn,2,Universal,1.0,,2,1
bjt_xor,bjt,xor,8,ApproximateEntropy,1.0,,8,1
bjt_xor,bjt,xor,8,BlockFrequency,0.875,,8,1
bjt_xor,bjt,xor,8,CumulativeSums,1.0,,8,2
bjt_xor,bjt,xor,8,FFT,1.0,,8,1
bjt_xor,bjt,xor,8,Frequency,1.0,,8,1
bjt_xor,bjt,xor,8,LinearComplexity,1.0,,8,1
bjt_xor,bjt,xor,8,LongestRun,1.0,,8,1
bjt_xor,bjt,xor,8,NonOverlappingTemplate,0.75,,8,148
bjt_xor,bjt,xor,8,OverlappingTemplate,1.0,,8,1
bjt_xor,bjt,xor,8,RandomExcursions,1.0,,4,8
bjt_xor,bjt,xor,8,RandomExcursionsVariant,1.0,,4,18
bjt_xor,bjt,xor,8,Rank,1.0,,8,1
bjt_xor,bjt,xor,8,Runs,0.875,,8,1
bjt_xor,bjt,xor,8,Serial,0.875,,8,2
bjt_xor,bjt,xor,8,Universal,1.0,,8,1
diode_raw,diode,raw,8,ApproximateEntropy,1.0,,8,1
