variant,sequence_count,line_number,test,subtest_index,passed,eligible,pass_proportion,proportion_flagged,uniformity_p_value,uniformity_flagged,raw_line,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,source,transform
bjt_raw,8,8,Frequency,1,8,8,1.0,False,,False,  0   0   1   0   1   1   2   2   0   1     ----       8/8       Frequency,0,0,1,0,1,1,2,2,0,1,bjt,raw
bjt_raw,8,9,BlockFrequency,1,8,8,1.0,False,,False,  1   1   0   0   0   2   0   2   1   1     ----       8/8       BlockFrequency,1,1,0,0,0,2,0,2,1,1,bjt,raw
bjt_raw,8,10,CumulativeSums,1,8,8,1.0,False,,False,  0   0   1   2   0   3   0   1   1   0     ----       8/8       CumulativeSums,0,0,1,2,0,3,0,1,1,0,bjt,raw
bjt_raw,8,11,CumulativeSums,2,8,8,1.0,False,,False,  0   2   1   1   0   0   2   0   1   1     ----       8/8       CumulativeSums,0,2,1,1,0,0,2,0,1,1,bjt,raw
bjt_raw,8,12,Runs,1,8,8,1.0,False,,False,  1   2   2   0   0   1   1   1   0   0     ----       8/8       Runs,1,2,2,0,0,1,1,1,0,0,bjt,raw
bjt_raw,8,13,LongestRun,1,8,8,1.0,False,,False,  0   2   0   0   1   1   0   0   2   2     ----       8/8       LongestRun,0,2,0,0,1,1,0,0,2,2,bjt,raw
bjt_raw,8,14,Rank,1,8,8,1.0,False,,False,  0   2   0   0   2   1   0   0   0   3     ----       8/8       Rank,0,2,0,0,2,1,0,0,0,3,bjt,raw
bjt_raw,8,15,FFT,1,8,8,1.0,False,,False,  3   0   0   0   0   2   0   0   2   1     ----       8/8       FFT,3,0,0,0,0,2,0,0,2,1,bjt,raw
bjt_raw,8,16,NonOverlappingTemplate,1,8,8,1.0,False,,False,  1   0   2   1   0   0   3   0   0   1     ----       8/8       NonOverlappingTemplate,1,0,2,1,0,0,3,0,0,1,bjt,raw
bjt_raw,8,17,NonOverlappingTemplate,2,8,8,1.0,False,,False,  1   0   1   2   2   0   1   0   1   0     ----       8/8       NonOverlappingTemplate,1,0,1,2,2,0,1,0,1,0,bjt,raw
bjt_raw,8,18,NonOverlappingTemplate,3,8,8,1.0,False,,False,  0   0   3   2   2   0   1   0   0   0     ----       8/8       NonOverlappingTemplate,0,0,3,2,2,0,1,0,0,0,bjt,raw
bjt_raw,8,19,NonOverlappingTemplate,4,8,8,1.0,False,,False,  1   1   1   0   0   2   1   1   1   0     ----       8/8       NonOverlappingTemplate,1,1,1,0,0,2,1,1,1,0,bjt,raw
bjt_raw,8,20,NonOverlappingTemplate,5,8,8,1.0,False,,False,  2   1   0   0   1   0   0   1   0   3     ----       8/8       NonOverlappingTemplate,2,1,0,0,1,0,0,1,0,3,bjt,raw
bjt_raw,8,21,NonOverlappingTemplate,6,8,8,1.0,False,,False,  0   0   4   0   1   1   0   0   0   2     ----       8/8       NonOverlappingTemplate,0,0,4,0,1,1,0,0,0,2,bjt,raw
bjt_raw,8,22,NonOverlappingTemplate,7,8,8,1.0,False,,False,  0   4   2   0   1   1   0   0   0   0     ----       8/8       NonOverlappingTemplate,0,4,2,0,1,1,0,0,0,0,bjt,raw
bjt_raw,8,23,NonOverlappingTemplate,8,8,8,1.0,False,,False,  0   1   1   2   1   0   1   1   0   1     ----       8/8       NonOverlappingTemplate,0,1,1,2,1,0,1,1,0,1,bjt,raw
bjt_raw,8,24,NonOverlappingTemplate,9,8,8,1.0,False,,False,  0   1   2   0   2   1   0   0   0   2     ----       8/8       NonOverlappingTemplate,0,1,2,0,2,1,0,0,0,2,bjt,raw
bjt_raw,8,25,NonOverlappingTemplate,10,6,8,0.75,True,,False,  2   0   0   2   1   0   0   2   1   0     ----       6/8    *  NonOverlappingTemplate,2,0,0,2,1,0,0,2,1,0,bjt,raw
bjt_raw,8,26,NonOverlappingTemplate,11,7,8,0.875,False,,False,  2   1   1   3   0   0   0   0   0   1     ----       7/8       NonOverlappingTemplate,2,1,1,3,0,0,0,0,0,1,bjt,raw
bjt_raw,8,27,NonOverlappingTemplate,12,8,8,1.0,False,,False,  2   0   0   2   0   0   1   1   1   1     ----       8/8       NonOverlappingTemplate,2,0,0,2,0,0,1,1,1,1,bjt,raw
bjt_raw,8,28,NonOverlappingTemplate,13,8,8,1.0,False,,False,  0   1   1   1   2   0   1   0   1   1     ----       8/8       NonOverlappingTemplate,0,1,1,1,2,0,1,0,1,1,bjt,raw
bjt_raw,8,29,NonOverlappingTemplate,14,8,8,1.0,False,,False,  0   0   0   0   3   1   0   0   2   2     ----       8/8       NonOverlappingTemplate,0,0,0,0,3,1,0,0,2,2,bjt,raw
bjt_raw,8,30,NonOverlappingTemplate,15,8,8,1.0,False,,False,  0   0   2   1   1   1   0   1   2   0     ----       8/8       NonOverlappingTemplate,0,0,2,1,1,1,0,1,2,0,bjt,raw
bjt_raw,8,31,NonOverlappingTemplate,16,8,8,1.0,False,,False,  0   2   0   0   0   3   1   0   1   1     ----       8/8       NonOverlappingTemplate,0,2,0,0,0,3,1,0,1,1,bjt,raw
bjt_raw,8,32,NonOverlappingTemplate,17,8,8,1.0,False,,False,  1   0   3   0   0   2   0   2   0   0     ----       8/8       NonOverlappingTemplate,1,0,3,0,0,2,0,2,0,0,bjt,raw
bjt_raw,8,33,NonOverlappingTemplate,18,8,8,1.0,False,,False,  1   1   0   0   2   0   0   1   1   2     ----       8/8       NonOverlappingTemplate,1,1,0,0,2,0,0,1,1,2,bjt,raw
bjt_raw,8,34,NonOverlappingTemplate,19,8,8,1.0,False,,False,  2   1   0   0   2   2   0   0   0   1     ----       8/8       NonOverlappingTemplate,2,1,0,0,2,2,0,0,0,1,bjt,raw
bjt_raw,8,35,NonOverlappingTemplate,20,8,8,1.0,False,,False,  2   0   0   1   0   2   0   1   2   0     ----       8/8       NonOverlappingTemplate,2,0,0,1,0,2,0,1,2,0,bjt,raw
bjt_raw,8,36,NonOverlappingTemplate,21,8,8,1.0,False,,False,  1   2   1   2   0   0   1   0   0   1     ----       8/8       NonOverlappingTemplate,1,2,1,2,0,0,1,0,0,1,bjt,raw
bjt_raw,8,37,NonOverlappingTemplate,22,8,8,1.0,False,,False,  0   1   1   2   2   0   1   0   1   0     ----       8/8       NonOverlappingTemplate,0,1,1,2,2,0,1,0,1,0,bjt,raw
bjt_raw,8,38,NonOverlappingTemplate,23,8,8,1.0,False,,False,  0   1   2   2   2   0   0   0   1   0     ----       8/8       NonOverlappingTemplate,0,1,2,2,2,0,0,0,1,0,bjt,raw
bjt_raw,8,39,NonOverlappingTemplate,24,8,8,1.0,False,,False,  0   0   1   1   1   1   2   2   0   0     ----       8/8       NonOverlappingTemplate,0,0,1,1,1,1,2,2,0,0,bjt,raw
bjt_raw,8,40,NonOverlappingTemplate,25,8,8,1.0,False,,False,  0   0   0   3   1   1   3   0   0   0     ----       8/8       NonOverlappingTemplate,0,0,0,3,1,1,3,0,0,0,bjt,raw
bjt_raw,8,41,NonOverlappingTemplate,26,8,8,1.0,False,,False,  0   0   0   1   1   2   0   1   3   0     ----       8/8       NonOverlappingTemplate,0,0,0,1,1,2,0,1,3,0,bjt,raw
bjt_raw,8,42,NonOverlappingTemplate,27,8,8,1.0,False,,False,  1   1   0   0   1   1   2   2   0   0     ----       8/8       NonOverlappingTemplate,1,1,0,0,1,1,2,2,0,0,bjt,raw
bjt_raw,8,43,NonOverlappingTemplate,28,8,8,1.0,False,,False,  0   0   0   2   1   1   1   2   0   1     ----       8/8       NonOverlappingTemplate,0,0,0,2,1,1,1,2,0,1,bjt,raw
bjt_raw,8,44,NonOverlappingTemplate,29,8,8,1.0,False,,False,  0   1   2   1   0   0   0   2   1   1     ----       8/8       NonOverlappingTemplate,0,1,2,1,0,0,0,2,1,1,bjt,raw
bjt_raw,8,45,NonOverlappingTemplate,30,8,8,1.0,False,,False,  0   4   2   0   0   1   1   0   0   0     ----       8/8       NonOverlappingTemplate,0,4,2,0,0,1,1,0,0,0,bjt,raw
bjt_raw,8,46,NonOverlappingTemplate,31,6,8,0.75,True,,False,  2   0   0   2   0   1   0   3   0   0     ----       6/8    *  NonOverlappingTemplate,2,0,0,2,0,1,0,3,0,0,bjt,raw
bjt_raw,8,47,NonOverlappingTemplate,32,8,8,1.0,False,,False,  1   0   2   0   1   1   2   0   1   0     ----       8/8       NonOverlappingTemplate,1,0,2,0,1,1,2,0,1,0,bjt,raw
bjt_raw,8,48,NonOverlappingTemplate,33,8,8,1.0,False,,False,  0   1   0   2   1   1   0   2   0   1     ----       8/8       NonOverlappingTemplate,0,1,0,2,1,1,0,2,0,1,bjt,raw
bjt_raw,8,49,NonOverlappingTemplate,34,8,8,1.0,False,,False,  0   0   2   0   2   0   0   0   0   4     ----       8/8       NonOverlappingTemplate,0,0,2,0,2,0,0,0,0,4,bjt,raw
bjt_raw,8,50,NonOverlappingTemplate,35,8,8,1.0,False,,False,  0   1   1   4   0   0   0   0   1   1     ----       8/8       NonOverlappingTemplate,0,1,1,4,0,0,0,0,1,1,bjt,raw
bjt_raw,8,51,NonOverlappingTemplate,36,8,8,1.0,False,,False,  0   0   1   1   1   1   3   0   1   0     ----       8/8       NonOverlappingTemplate,0,0,1,1,1,1,3,0,1,0,bjt,raw
bjt_raw,8,52,NonOverlappingTemplate,37,8,8,1.0,False,,False,  0   1   0   1   1   0   0   1   4   0     ----       8/8       NonOverlappingTemplate,0,1,0,1,1,0,0,1,4,0,bjt,raw
bjt_raw,8,53,NonOverlappingTemplate,38,8,8,1.0,False,,False,  1   0   1   1   3   0   1   0   0   1     ----       8/8       NonOverlappingTemplate,1,0,1,1,3,0,1,0,0,1,bjt,raw
bjt_raw,8,54,NonOverlappingTemplate,39,8,8,1.0,False,,False,  2   1   1   0   1   1   0   0   1   1     ----       8/8       NonOverlappingTemplate,2,1,1,0,1,1,0,0,1,1,bjt,raw
bjt_raw,8,55,NonOverlappingTemplate,40,8,8,1.0,False,,False,  0   0   1   1   3   1   0   1   0   1     ----       8/8       NonOverlappingTemplate,0,0,1,1,3,1,0,1,0,1,bjt,raw
bjt_raw,8,56,NonOverlappingTemplate,41,8,8,1.0,False,,False,  1   1   0   0   2   0   0   1   1   2     ----       8/8       NonOverlappingTemplate,1,1,0,0,2,0,0,1,1,2,bjt,raw
bjt_raw,8,57,NonOverlappingTemplate,42,8,8,1.0,False,,False,  1   1   1   0   1   1   1   0   0   2     ----       8/8       NonOverlappingTemplate,1,1,1,0,1,1,1,0,0,2,bjt,raw
bjt_raw,8,58,NonOverlappingTemplate,43,8,8,1.0,False,,False,  0   1   1   0   3   0   1   0   2   0     ----       8/8       NonOverlappingTemplate,0,1,1,0,3,0,1,0,2,0,bjt,raw
bjt_raw,8,59,NonOverlappingTemplate,44,8,8,1.0,False,,False,  1   2   0   0   1   1   0   2   0   1     ----       8/8       NonOverlappingTemplate,1,2,0,0,1,1,0,2,0,1,bjt,raw
bjt_raw,8,60,NonOverlappingTemplate,45,8,8,1.0,False,,False,  1   0   3   0   1   1   0   1   0   1     ----       8/8       NonOverlappingTemplate,1,0,3,0,1,1,0,1,0,1,bjt,raw
bjt_raw,8,61,NonOverlappingTemplate,46,8,8,1.0,False,,False,  1   2   0   2   1   0   2   0   0   0     ----       8/8       NonOverlappingTemplate,1,2,0,2,1,0,2,0,0,0,bjt,raw
bjt_raw,8,62,NonOverlappingTemplate,47,8,8,1.0,False,,False,  1   1   1   1   0   1   2   0   1   0     ----       8/8       NonOverlappingTemplate,1,1,1,1,0,1,2,0,1,0,bjt,raw
bjt_raw,8,63,NonOverlappingTemplate,48,8,8,1.0,False,,False,  1   0   1   0   0   2   0   1   3   0     ----       8/8       NonOverlappingTemplate,1,0,1,0,0,2,0,1,3,0,bjt,raw
bjt_raw,8,64,NonOverlappingTemplate,49,7,8,0.875,False,,False,  1   2   1   0   0   2   0   0   2   0     ----       7/8       NonOverlappingTemplate,1,2,1,0,0,2,0,0,2,0,bjt,raw
bjt_raw,8,65,NonOverlappingTemplate,50,7,8,0.875,False,,False,  1   0   0   1   2   1   1   1   0   1     ----       7/8       NonOverlappingTemplate,1,0,0,1,2,1,1,1,0,1,bjt,raw
bjt_raw,8,66,NonOverlappingTemplate,51,8,8,1.0,False,,False,  2   1   1   1   1   2   0   0   0   0     ----       8/8       NonOverlappingTemplate,2,1,1,1,1,2,0,0,0,0,bjt,raw
bjt_raw,8,67,NonOverlappingTemplate,52,8,8,1.0,False,,False,  3   1   2   1   0   0   0   1   0   0     ----       8/8       NonOverlappingTemplate,3,1,2,1,0,0,0,1,0,0,bjt,raw
bjt_raw,8,68,NonOverlappingTemplate,53,8,8,1.0,False,,False,  1   1   1   1   1   1   0   1   1   0     ----       8/8       NonOverlappingTemplate,1,1,1,1,1,1,0,1,1,0,bjt,raw
bjt_raw,8,69,NonOverlappingTemplate,54,8,8,1.0,False,,False,  1   1   1   3   1   1   0   0   0   0     ----       8/8       NonOverlappingTemplate,1,1,1,3,1,1,0,0,0,0,bjt,raw
bjt_raw,8,70,NonOverlappingTemplate,55,8,8,1.0,False,,False,  0   0   3   0   1   0   0   1   2   1     ----       8/8       NonOverlappingTemplate,0,0,3,0,1,0,0,1,2,1,bjt,raw
bjt_raw,8,71,NonOverlappingTemplate,56,7,8,0.875,False,,False,  2   0   3   1   0   0   1   0   0   1     ----       7/8       NonOverlappingTemplate,2,0,3,1,0,0,1,0,0,1,bjt,raw
bjt_raw,8,72,NonOverlappingTemplate,57,8,8,1.0,False,,False,  1   0   2   0   0   1   2   1   1   0     ----       8/8       NonOverlappingTemplate,1,0,2,0,0,1,2,1,1,0,bjt,raw
bjt_raw,8,73,NonOverlappingTemplate,58,8,8,1.0,False,,False,  0   0   2   0   1   3   1   1   0   0     ----       8/8       NonOverlappingTemplate,0,0,2,0,1,3,1,1,0,0,bjt,raw
bjt_raw,8,74,NonOverlappingTemplate,59,8,8,1.0,False,,False,  0   1   1   0   1   1   0   2   0   2     ----       8/8       NonOverlappingTemplate,0,1,1,0,1,1,0,2,0,2,bjt,raw
bjt_raw,8,75,NonOverlappingTemplate,60,8,8,1.0,False,,False,  0   1   2   0   0   1   0   2   2   0     ----       8/8       NonOverlappingTemplate,0,1,2,0,0,1,0,2,2,0,bjt,raw
