variant,status,process_return_code,input_path,input_sha256,sequence_bits,sequence_count,total_analysis_bits,report_path,report_sha256,stdout_log,stderr_log
mls_raw,completed,1,data/nist_input/mls_raw.txt,92b3177f466a081e3c47f5a9b47b72701db8f00e0616b5207b3d1da3f2bd953a,1000000,8,8000000,results/nist/mls_raw/finalAnalysisReport.txt,7f72452f30071e23e9ba92e92bbea38e419968ce579d19e186cdefa07ab60b18,logs/nist/mls_raw_stdout.log,logs/nist/mls_raw_stderr.log
mls_vn,completed,1,data/nist_input/mls_vn.txt,0e54af7795ef8930f351eae76c8bc921d72ff93c46df67ba17f7d532f0e608ec,1000000,2,2000000,results/nist/mls_vn/finalAnalysisReport.txt,0197a53099ed2b60aa814db7299c87d14ef87c0cb5a16cfa7bf9ede51088294b,logs/nist/mls_vn_stdout.log,logs/nist/mls_vn_stderr.log
mls_xor,completed,1,data/nist_input/mls_xor.txt,4920239c8fdd421a1cb218d63a6e0dec0cd9acd1a8cc1728da9a94feb0e02b22,1000000,8,8000000,results/nist/mls_xor/finalAnalysisReport.txt,d5154dbc5153920aa1d84a5675d3e2e92331580844da03d731cfa4425115f006,logs/nist/mls_xor_stdout.log,logs/nist/mls_xor_stderr.log
python_random_raw,completed,1,data/nist_input/python_random_raw.txt,fb7b03c36dfc95fb6dc726c02d267752a4bb3e0226c9a2b67ccc6056272cf61b,1000000,8,8000000,results/nist/python_random_raw/finalAnalysisReport.txt,f408a705cedd62e6c56a435911d9e2a5f8703017a5d3bf2366b9028d50585808,logs/nist/python_random_raw_stdout.log,logs/nist/python_random_raw_stderr.log
python_random_vn,completed,1,data/nist_input/python_random_vn.txt,a3a8fe9f4340402a90bd72659c929f9a4e9167af6c270119f741278f3a758be3,1000000,2,2000000,results/nist/python_random_vn/finalAnalysisReport.txt,d0dcdc405c379fcbcfa4e84bbcf7ab9ba58e0945abbe3765ea6d7ac1aa810765,logs/nist/python_random_vn_stdout.log,logs/nist/python_random_vn_stderr.log
python_random_xor,completed,1,data/nist_input/python_random_xor.txt,53cb88278be79db24b5e95625ace0ac9440ccaed94efa720bc72019831893db5,1000000,8,8000000,results/nist/python_random_xor/finalAnalysisReport.txt,21ff9c24f5116fc4608ac63898d9fbd6a4f497eb4982a680923232ef6f31349c,logs/nist/python_random_xor_stdout.log,logs/nist/python_random_xor_stderr.log
pynacl_raw,completed,1,data/nist_input/pynacl_raw.txt,d25ef071d9b74662a7da1b1dfeca9548eaf8e459c6c115a44eb773bf9844c0b0,1000000,8,8000000,results/nist/pynacl_raw/finalAnalysisReport.txt,91d2f5989bf66d05005df49beaffff58e4f6988878d37839af7c288af7687733,logs/nist/pynacl_raw_stdout.log,logs/nist/pynacl_raw_stderr.log
pynacl_vn,completed,1,data/nist_input/pynacl_vn.txt,1381b5355c6343215faba3be0532189627e294872179116224cb403a372d223f,1000000,2,2000000,results/nist/pynacl_vn/finalAnalysisReport.txt,bd87d784e896c75641156e99a5f02963ec4845f53822cf29dc724f2b309c6dd5,logs/nist/pynacl_vn_stdout.log,logs/nist/pynacl_vn_stderr.log
pynacl_xor,completed,1,data/nist_input/pynacl_xor.txt,28f02465ee661eda4f16c0ba538a7592e9434e52b746860dfcabafefa2f307f6,1000000,8,8000000,results/nist/pynacl_xor/finalAnalysisReport.txt,cd1df625b76e395a6cefbedfd9c0195038080779f9f8066f790c2645eb654679,logs/nist/pynacl_xor_stdout.log,logs/nist/pynacl_xor_stderr.log
pycryptodome_raw,completed,1,data/nist_input/pycryptodome_raw.txt,7cd5a45f39faf84b7c4095c45282985017bb18662bf4cfd722ba418d57e23a12,1000000,8,8000000,results/nist/pycryptodome_raw/finalAnalysisReport.txt,47bf25181bf81f45c9dbe3c4d7773420f1ec1d9c9e02bda14a8a8ece7cbc375a,logs/nist/pycryptodome_raw_stdout.log,logs/nist/pycryptodome_raw_stderr.log
pycryptodome_vn,completed,1,data/nist_input/pycryptodome_vn.txt,597e33cb8f94016b6029c00f467d55b6c3025e408274dd99bebc2f4f26921c7d,1000000,2,2000000,results/nist/pycryptodome_vn/finalAnalysisReport.txt,169f670f0d25370d04f241096122fbe4d30b0abbbd9ad0d71c77949db97b0333,logs/nist/pycryptodome_vn_stdout.log,logs/nist/pycryptodome_vn_stderr.log
pycryptodome_xor,completed,1,data/nist_input/pycryptodome_xor.txt,d53a862665219f1ee61105887c93f43d39b742138c10d42ab4c4b92981d470b3,1000000,8,8000000,results/nist/pycryptodome_xor/finalAnalysisReport.txt,7ad3048fab72c52d089f1dcc6409a670575d146ea9d44f10d01443d8270e70e0,logs/nist/pycryptodome_xor_stdout.log,logs/nist/pycryptodome_xor_stderr.log
bjt_raw,completed,1,data/nist_input/bjt_raw.txt,45d5187fb090ee36e8224323c26680a61a87c7ed818eb14b33d13a5e41ba1baa,1000000,8,8000000,results/nist/bjt_raw/finalAnalysisReport.txt,0267c21e029e9f3c7027de911c70e0fbc303d11b4a78891f96584a101e7b5107,logs/nist/bjt_raw_stdout.log,logs/nist/bjt_raw_stderr.log
bjt_vn,completed,1,data/nist_input/bjt_vn.txt,e8ccc434ac4c82c0bb396aee4a4448ae20c07b48a2f2f9efb33e2c8daf612afa,1000000,2,2000000,results/nist/bjt_vn/finalAnalysisReport.txt,2c13fcb09eddebfd87656e5f3ade258f5a5b6ac1ac0ec5319bf39dbb63ada4b4,logs/nist/bjt_vn_stdout.log,logs/nist/bjt_vn_stderr.log
bjt_xor,completed,1,data/nist_input/bjt_xor.txt,17eb9be24df88cb24ba2e9977f60e684b4f1d3afa2fc8d7fcb636c4bcfcbba90,1000000,8,8000000,results/nist/bjt_xor/finalAnalysisReport.txt,2fe60198ca7ae2facf5cf2187ba41a9625d20dc31c41f2c2b6b0dfd341735b4a,logs/nist/bjt_xor_stdout.log,logs/nist/bjt_xor_stderr.log
diode_raw,completed,1,data/nist_input/diode_raw.txt,625f69475375341f10f8408466b47c309339b607ea1e9c6c51b826f1bb305704,1000000,8,8000000,results/nist/diode_raw/finalAnalysisReport.txt,f7afc622d6fcd132a633ee55c5170fdc7484c44fe74aac19bdca0c4cad069712,logs/nist/diode_raw_stdout.log,logs/nist/diode_raw_stderr.log
diode_vn,completed,1,data/nist_input/diode_vn.txt,d35b6722c1209dda71fbefc4ea6d8b28086ee8b901980a71239f7eb12e25c47a,1000000,2,2000000,results/nist/diode_vn/finalAnalysisReport.txt,33003cb63b81224155d595960b2a02e186f3f88652c9ede000c2599489e35a4c,logs/nist/diode_vn_stdout.log,logs/nist/diode_vn_stderr.log
diode_xor,completed,1,data/nist_input/diode_xor.txt,fd4420ef14d89c474b3eb7678648ad7bdedfbb14547a9ef39bcaf21778623c56,1000000,8,8000000,results/nist/diode_xor/finalAnalysisReport.txt,bf47bf1f77f7fd8546c9f4e69c9b624d2d97e51a20898ea7f57fbca1f1506ec4,logs/nist/diode_xor_stdout.log,logs/nist/diode_xor_stderr.log
sdr_raw,completed,1,data/nist_input/sdr_raw.txt,a231bf2b30470cf60d55523b0f6f9047a6ee0f342e94cb48bc6e5cf1f7f80435,1000000,8,8000000,results/nist/sdr_raw/finalAnalysisReport.txt,385f678676ee1f23e31ce86d086599cd14f8815b2cabaca1e79fff61b52882a8,logs/nist/sdr_raw_stdout.log,logs/nist/sdr_raw_stderr.log
sdr_vn,completed,1,data/nist_input/sdr_vn.txt,ea9181949a047565584a35247ae7379e15ff1e505f0092d084cd04fe534d6496,1000000,2,2000000,results/nist/sdr_vn/finalAnalysisReport.txt,72b94c3b4cb21dc4aaee28f8f72932be34fbb75156122a680636743d1aa660b5,logs/nist/sdr_vn_stdout.log,logs/nist/sdr_vn_stderr.log
sdr_xor,completed,1,data/nist_input/sdr_xor.txt,13c1e516ec0a63e8a647f7d24b10a849797730b3c080324d4fc933541aee4336,1000000,8,8000000,results/nist/sdr_xor/finalAnalysisReport.txt,f8d75719ac4d041d2b2bec5fd700ad0563732434b056e0103215efc581cb7951,logs/nist/sdr_xor_stdout.log,logs/nist/sdr_xor_stderr.log
