source,transform,sequence_count,tests_reported,minimum_pass_proportion,median_pass_proportion,unavailable_uniformity_values
bjt,raw,8,15,0.75,1.0,15
diode,raw,8,15,0.875,1.0,15
mls,raw,8,15,0.0,1.0,15
pycryptodome,raw,8,15,0.75,1.0,15
pynacl,raw,8,15,0.75,1.0,15
python_random,raw,8,15,0.8,1.0,15
sdr,raw,8,15,0.0,0.0,15
bjt,vn,2,15,0.5,1.0,15
diode,vn,2,15,0.5,1.0,15
mls,vn,2,15,0.5,1.0,15
pycryptodome,vn,2,15,0.5,1.0,15
pynacl,vn,2,15,0.5,1.0,15
python_random,vn,2,15,0.0,1.0,15
sdr,vn,2,13,0.0,0.0,13
bjt,xor,8,15,0.75,1.0,15
diode,xor,8,15,0.875,1.0,15
mls,xor,8,15,0.0,1.0,15
pycryptodome,xor,8,15,0.875,1.0,15
pynacl,xor,8,15,0.875,1.0,15
python_random,xor,8,15,0.625,1.0,15
sdr,xor,8,14,0.0,0.0,14
