variant,source,transform,common_raw_input_values,untrimmed_output_bits,retention_ratio,zero_proportion,one_proportion,common_available_bits,available_sequence_count,requested_sequence_count,nist_sequence_count,common_final_bits,discarded_after_transform
mls_raw,mls,raw,8234837,8234837,1.0,0.4998152361728593,0.5001847638271407,8234837,8,10,8,8000000,234837
mls_vn,mls,vn,8234837,2058568,0.24998284726218625,0.49976148468255605,0.500238515317444,2056683,2,55,2,2000000,58568
mls_xor,mls,xor,8234837,8234837,1.0,0.500192414251794,0.49980758574820605,8234837,8,10,8,8000000,234837
python_random_raw,python_random,raw,8234837,8234837,1.0,0.5001148170874542,0.4998851829125458,8234837,8,10,8,8000000,234837
python_random_vn,python_random,vn,8234837,2056683,0.2497539416991496,0.4995290961222512,0.5004709038777487,2056683,2,55,2,2000000,56683
python_random_xor,python_random,xor,8234837,8234837,1.0,0.5001705558956419,0.4998294441043581,8234837,8,10,8,8000000,234837
pynacl_raw,pynacl,raw,8234837,8234837,1.0,0.499824222385944,0.500175777614056,8234837,8,10,8,8000000,234837
pynacl_vn,pynacl,vn,8234837,2057788,0.24988812771886074,0.4998989205885154,0.5001010794114845,2056683,2,55,2,2000000,57788
pynacl_xor,pynacl,xor,8234837,8234837,1.0,0.499928656754226,0.5000713432457741,8234837,8,10,8,8000000,234837
pycryptodome_raw,pycryptodome,raw,8234837,8234837,1.0,0.5000330911225079,0.49996690887749207,8234837,8,10,8,8000000,234837
pycryptodome_vn,pycryptodome,vn,8234837,2059252,0.250065909015564,0.5002156122708634,0.4997843877291366,2056683,2,55,2,2000000,59252
pycryptodome_xor,pycryptodome,xor,8234837,8234837,1.0,0.5000233762975514,0.4999766237024485,8234837,8,10,8,8000000,234837
bjt_raw,bjt,raw,8234837,8234837,1.0,0.49990181955028373,0.5000981804497162,8234837,8,10,8,8000000,234837
bjt_vn,bjt,vn,8234837,2060058,0.25016378587700033,0.5006499816995443,0.4993500183004556,2056683,2,55,2,2000000,60058
bjt_xor,bjt,xor,8234837,8234837,1.0,0.4999080127511935,0.5000919872488065,8234837,8,10,8,8000000,234837
diode_raw,diode,raw,8234837,8234837,1.0,0.4997891275807888,0.5002108724192112,8234837,8,10,8,8000000,234837
diode_vn,diode,vn,8234837,2059389,0.25008254565330196,0.4996287733886119,0.5003712266113881,2056683,2,55,2,2000000,59389
diode_xor,diode,xor,8234837,8234837,1.0,0.49988979745440015,0.5001102025455999,8234837,8,10,8,8000000,234837
sdr_raw,sdr,raw,8234837,8234837,1.0,0.5006276384098435,0.4993723615901566,8234837,8,10,8,8000000,234837
sdr_vn,sdr,vn,8234837,2056855,0.249774828572806,0.49846732025349383,0.5015326797465062,2056683,2,55,2,2000000,56855
sdr_xor,sdr,xor,8234837,8234837,1.0,0.5003823390796928,0.49961766092030724,8234837,8,10,8,8000000,234837
